CATEGORYID,LARGEID,LARGENAME,MEDIUMID,MEDIUMNAME,SMALLID,SMALLNAME,PAGES
2D0792,2D,工作機械,07,ショットブラスト・研磨機,92,修理・オ－バ－ホ－ル,A
2D0793,2D,工作機械,07,ショットブラスト・研磨機,93,二次側配線・配管,A
2D0799,2D,工作機械,07,ショットブラスト・研磨機,99,その他,A
2D0801,2D,工作機械,08,電気加工機,01,本体（ワイヤ－カット）,A
2D0802,2D,工作機械,08,電気加工機,02,放電加工機,A
2D0803,2D,工作機械,08,電気加工機,03,電解加工機,A
2D0804,2D,工作機械,08,電気加工機,04,レ－ザ－加工機,A
2D0805,2D,工作機械,08,電気加工機,05,電子ビ－ム加工機,A
2D0806,2D,工作機械,08,電気加工機,06,超音波加工機,A
2D0850,2D,工作機械,08,電気加工機,50,ソフト(電気加工機用),A
2D0890,2D,工作機械,08,電気加工機,90,専用補修部品,A
2D0891,2D,工作機械,08,電気加工機,91,移設・改造,A
2D0892,2D,工作機械,08,電気加工機,92,修理・オ－バ－ホ－ル,A
2D0893,2D,工作機械,08,電気加工機,93,二次側配線・配管,A
2D0899,2D,工作機械,08,電気加工機,99,その他,A
2D0901,2D,工作機械,09,研削盤,01,本体（円筒研削盤）,A
2D0902,2D,工作機械,09,研削盤,02,平面研削盤,A
2D0903,2D,工作機械,09,研削盤,03,センタレス研削盤,A
2D0904,2D,工作機械,09,研削盤,04,工具研削盤,A
2D0905,2D,工作機械,09,研削盤,05,万能研削盤,A
2D0907,2D,工作機械,09,研削盤,07,歯車研削盤,A
2D0908,2D,工作機械,09,研削盤,08,超仕上げ研削盤,A
